cliente_id,nombre,telefono,documento,monto_deuda,edad,genero,region,zona,tipo_cliente,es_digital,uso_app,uso_whatsapp,interaccion_digital_score,canal_whatsapp,canal_sms,canal_llamada,canal_campo,score_riesgo,prob_default,num_atrasos_previos,dias_mora_promedio,ratio_pago,ultimo_pago_dias,dias_mora,riesgo,opt_out,consentimiento,tiene_uplift,cuota_mensual,prob_pago_base,uplift_whatsapp,uplift_sms,uplift_llamada,uplift_campo,num_contactos_ult7d
C0017,Carmen Cusi Peralta,+51987100017,40440394,2704.81,45,F,Lambayeque,periurbana,microempresa,True,0.7,0.94,0.82,True,True,True,True,0.522,0.432,3,52.5,0.62,77,59,medio,False,True,True,182.24,0.414,0.1613,0.0172,0.0823,0.154,1
C0018,Elena Condori Loayza,+51987100018,44823675,2865.04,38,F,Junín,urbana,microempresa,True,0.7,0.87,0.78,True,True,True,True,0.335,0.263,1,19.6,0.85,44,22,medio,False,True,True,184.4,0.518,0.0974,0.0649,0.0974,0.0788,0
C0019,Sonia Salas Peralta,+51987100019,42085012,2640.33,56,F,Lima,urbana,microempresa,False,0.06,0.35,0.2,True,False,True,True,0.222,0.209,3,33.9,0.61,56,26,bajo,False,True,True,203.69,0.762,-0.0883,-0.0354,0.0073,-0.1611,6
C0020,Percy Condori Salazar,+51987100020,69662299,3426.12,61,M,Arequipa,urbana,microempresa,True,0.41,0.66,0.54,True,True,True,True,0.613,0.564,4,183.2,0.3,189,176,medio,False,True,True,358.83,0.407,-0.0704,-0.0801,-0.0155,-0.0672,1
C0021,Rosa Huamán Huamán,+51987100021,52646553,6566.62,34,F,Lima,urbana,pequeña,True,0.63,0.85,0.74,True,True,True,True,0.677,0.556,2,68.0,0.26,82,68,alto,False,True,True,754.18,0.326,-0.0272,-0.0471,-0.155,-0.0889,2
C0022,Raúl Yupanqui Ibáñez,+51987100022,44580357,2779.75,47,M,Arequipa,urbana,pequeña,True,0.57,0.63,0.6,True,True,True,True,0.336,0.269,3,11.3,0.68,19,14,medio,False,True,True,261.33,0.363,0.037,0.0786,0.1902,0.1796,1
C0023,Miguel Rojas Espinoza,+51987100023,78461716,2366.47,31,M,Lambayeque,periurbana,microempresa,False,0.03,0.28,0.16,False,True,False,True,0.488,0.448,1,49.8,0.39,77,56,medio,False,True,True,173.02,0.736,-0.0731,-0.0419,-0.1081,-0.1231,0
C0024,Julio Cusi Ccahuana,+51987100024,59619021,873.67,30,M,Lambayeque,periurbana,microempresa,True,0.83,0.93,0.88,True,True,True,True,0.185,0.163,1,1.8,0.73,19,0,bajo,False,True,True,91.46,0.421,0.2632,0.1991,0.2038,0.2272,0
C0025,Ana Rojas Ticona,+51987100025,77758145,7455.34,57,F,Lima,urbana,pequeña,False,0.03,0.2,0.12,False,True,True,True,0.621,0.492,5,83.1,0.13,94,84,medio,False,True,True,415.89,0.56,0.1598,0.2328,0.2532,0.2723,1
C0026,Julio Bautista Paredes,+51987100026,51141834,4251.75,28,M,La Libertad,rural,pequeña,False,0.07,0.13,0.1,False,True,True,True,0.163,0.151,0,0.0,0.99,24,0,bajo,False,True,True,257.47,0.46,0.1567,0.1716,0.1201,0.1447,3
C0027,María Salas Ticona,+51987100027,70076922,2530.85,57,F,Arequipa,urbana,pequeña,False,0.2,0.31,0.26,False,True,True,True,0.367,0.324,2,6.3,0.72,33,3,medio,False,True,True,317.06,0.479,0.2477,0.2624,0.2193,0.1247,3
C0028,Elena Loayza Salas,+51987100028,49088485,2479.33,59,F,Lima,urbana,microempresa,True,0.81,1.0,0.91,True,True,False,True,0.121,0.124,1,0.0,0.93,9,0,bajo,False,True,True,137.93,0.457,0.2564,0.2176,0.2432,0.2546,2
C0029,Rosa Chávez Ccahuana,+51987100029,71065936,21068.68,41,F,Arequipa,periurbana,mediana,False,0.16,0.3,0.23,False,True,True,True,0.294,0.244,3,18.4,0.62,33,21,bajo,True,True,True,3385.92,0.685,-0.1144,-0.0246,-0.0146,-0.0559,0
C0030,Ana Zegarra Rojas,+51987100030,55632916,2316.84,45,F,Lima,periurbana,microempresa,True,0.5,0.6,0.55,True,True,True,True,0.083,0.064,0,0.0,0.8,19,6,bajo,False,True,True,258.78,0.299,0.2391,0.1414,0.1984,0.1681,3
C0031,Ana Cáceres Loayza,+51987100031,54527241,833.34,56,F,Cajamarca,rural,microempresa,False,0.03,0.15,0.09,False,True,True,False,0.32,0.295,2,35.7,0.56,39,29,bajo,False,True,True,120.21,0.655,-0.1096,-0.0453,-0.099,-0.1278,0
C0032,Nelson Huamán Ibáñez,+51987100032,74659718,4782.43,54,M,Lima,urbana,pequeña,True,0.48,0.74,0.61,True,True,True,True,0.323,0.294,3,29.2,0.66,63,29,bajo,False,True,True,373.84,0.579,0.1079,0.1785,0.1896,0.1213,3
C0033,Nancy Salazar Ñahui,+51987100033,58805588,487.8,35,F,Lima,urbana,microempresa,True,0.69,0.99,0.84,True,True,True,True,0.481,0.494,4,29.9,0.45,35,32,medio,False,True,True,80.0,0.555,0.2833,0.2677,0.2758,0.1285,1
C0034,Miriam Chávez Aliaga,+51987100034,66492528,4400.55,38,F,Lima,periurbana,microempresa,True,0.89,1.0,0.95,True,True,True,True,0.75,0.575,7,60.5,0.1,72,69,alto,False,True,True,299.79,0.522,0.1327,-0.0079,0.0945,0.045,0
C0035,Flor Mendoza Salas,+51987100035,46411667,4366.18,37,F,La Libertad,urbana,microempresa,True,0.72,0.82,0.77,True,True,True,True,0.355,0.328,1,3.7,0.65,21,4,medio,False,True,True,324.44,0.559,0.225,0.2074,0.1352,0.1878,0
C0036,Doris Cáceres Condori,+51987100036,47732327,1472.92,49,F,Piura,rural,microempresa,True,0.7,0.81,0.76,True,True,True,False,0.59,0.508,6,92.3,0.32,95,88,medio,False,True,True,143.18,0.275,0.2873,0.2773,0.2055,0.2596,3
C0037,Jorge Cáceres Peralta,+51987100037,67608562,746.79,44,M,Lambayeque,periurbana,microempresa,True,0.88,1.0,0.94,True,True,True,True,0.081,0.07,2,8.1,0.53,18,5,bajo,False,True,True,80.0,0.099,-0.0319,-0.0842,0.0001,-0.0483,1
C0038,Víctor Peralta Quispe,+51987100038,68701534,1217.44,34,M,Piura,periurbana,microempresa,True,0.57,0.69,0.63,True,True,True,True,0.169,0.153,0,0.0,0.99,14,0,bajo,False,True,True,80.0,0.208,-0.0712,-0.0527,-0.0391,-0.0639,2
C0039,Jorge Ccahuana Apaza,+51987100039,41907168,3206.81,66,M,Cajamarca,urbana,pequeña,True,0.47,0.52,0.49,True,True,True,True,0.134,0.105,1,0.0,0.71,21,0,bajo,False,True,True,408.98,0.484,0.107,-0.0292,0.0554,-0.0166,1
C0040,Elena Cordova Peralta,+51987100040,74351453,2647.67,44,F,Lima,urbana,microempresa,False,0.05,0.1,0.08,False,True,True,True,0.127,0.097,1,0.0,0.97,24,0,bajo,False,True,True,232.86,0.363,-0.035,-0.1561,-0.0265,-0.1285,1
C0041,Wilmer Condori Aliaga,+51987100041,46873217,3759.17,24,M,Lambayeque,urbana,microempresa,True,0.55,0.82,0.69,True,True,True,True,0.707,0.558,4,76.9,0.45,96,74,alto,False,True,True,288.72,0.315,0.1953,0.1973,0.2622,0.2421,3
C0042,Juan Trujillo Zegarra,+51987100042,73316474,3776.0,39,M,Piura,rural,microempresa,False,0.21,0.27,0.24,False,True,True,False,0.718,0.714,2,62.3,0.48,89,62,alto,False,True,True,331.79,0.067,-0.0597,-0.0647,-0.0279,-0.0725,1
C0043,Gladys Trujillo Condori,+51987100043,51633408,24713.29,41,F,Junín,urbana,mediana,True,0.67,0.78,0.73,True,True,True,True,0.554,0.498,4,61.0,0.63,90,56,medio,False,False,True,2100.72,0.675,-0.0521,-0.1462,-0.0935,-0.0684,5
C0044,Patricia Flores Peralta,+51987100044,58092422,12486.53,43,F,Piura,urbana,mediana,False,0.19,0.44,0.32,True,True,True,True,0.319,0.279,0,17.1,0.87,24,18,bajo,False,True,True,977.88,0.463,0.1008,0.117,0.1313,0.1297,0
C0045,Patricia Salas Pariona,+51987100045,42353079,2017.41,46,F,La Libertad,urbana,microempresa,True,0.94,1.0,0.97,True,True,True,True,0.03,0.026,1,0.0,0.89,30,0,bajo,False,True,True,136.06,0.421,0.1255,0.0449,0.1134,0.0828,0
C0046,Elmer Flores Mamani,+51987100046,42795185,1191.56,33,M,Lambayeque,urbana,microempresa,False,0.14,0.43,0.29,True,True,True,True,0.072,0.067,0,3.4,0.51,41,0,bajo,False,True,True,122.01,0.279,0.0532,0.2252,0.2442,0.1656,1
C0047,Elena Ccahuana Mendoza,+51987100047,74133855,4174.83,54,F,Puno,rural,pequeña,False,0.01,0.09,0.05,False,True,True,True,0.23,0.192,1,0.0,0.99,4,0,bajo,False,True,True,537.04,0.472,-0.0533,-0.033,-0.0146,-0.2134,1
C0048,Nancy Rojas Trujillo,+51987100048,78371543,2450.92,37,F,Lima,urbana,microempresa,True,0.46,0.64,0.55,True,True,True,True,0.412,0.432,0,25.0,0.58,48,27,medio,False,True,True,397.38,0.363,0.0247,-0.0447,-0.0672,-0.0251,0
C0049,José Cordova Apaza,+51987100049,55707138,4432.99,35,M,Piura,urbana,microempresa,True,0.92,1.0,0.96,True,True,True,True,0.702,0.702,2,21.9,0.76,42,19,alto,False,True,True,353.34,0.821,-0.015,-0.1138,-0.0402,-0.0249,5
C0050,Raúl Condori Cáceres,+51987100050,71473689,1613.31,35,M,Cusco,urbana,microempresa,True,0.94,1.0,0.97,True,True,True,True,0.793,0.792,4,179.9,0.21,175,171,alto,False,True,True,194.23,0.261,0.2568,0.2163,0.2906,0.1485,4
C0051,Óscar Huamán Cordova,+51987100051,53644021,1695.36,32,M,Lima,periurbana,microempresa,True,0.79,1.0,0.9,True,True,True,True,0.728,0.608,6,107.0,0.22,126,109,alto,False,True,True,134.32,0.272,-0.0604,-0.1284,-0.0253,-0.149,0
C0052,Norma Loayza Sulca,+51987100052,70144872,1560.55,53,F,La Libertad,urbana,microempresa,True,0.86,1.0,0.93,True,True,True,True,0.03,0.03,1,5.2,0.7,7,0,bajo,False,True,True,208.27,0.543,0.0029,-0.0717,-0.0204,-0.0594,2
C0053,Teresa Paredes Loayza,+51987100053,50787058,4325.68,42,F,Cajamarca,urbana,microempresa,True,0.59,0.76,0.68,True,True,False,True,0.553,0.574,5,86.4,0.23,96,88,medio,False,True,True,295.44,0.89,-0.0931,-0.054,-0.0398,-0.0762,2
C0054,Miriam Rojas Ibáñez,+51987100054,77375487,800.04,38,F,Arequipa,periurbana,microempresa,False,0.08,0.35,0.21,True,True,True,True,0.091,0.076,0,1.7,0.99,13,0,bajo,False,True,True,80.0,0.72,-0.0838,-0.052,-0.042,-0.1213,2
C0055,María Paredes Cáceres,+51987100055,67847605,2266.61,42,F,Lambayeque,urbana,microempresa,True,0.63,0.76,0.7,True,True,True,True,0.276,0.248,1,6.2,0.99,26,0,bajo,False,True,True,141.27,0.412,-0.0132,-0.0232,-0.0588,-0.0528,1
C0056,Norma Quispe Aliaga,+51987100056,40474988,5240.04,58,F,Lima,periurbana,pequeña,False,0.07,0.18,0.12,False,True,True,True,0.67,0.614,6,83.6,0.12,91,73,alto,False,True,True,301.34,0.525,0.0931,0.0902,0.0832,0.1002,1
C0057,Nelson Quispe Vargas,+51987100057,74333416,4351.21,51,M,Lima,urbana,microempresa,False,0.1,0.19,0.15,False,True,True,True,0.606,0.499,3,73.2,0.21,125,81,medio,False,True,True,616.79,0.477,0.3225,0.3065,0.3246,0.2965,2
C0058,Roxana Vargas Ayala,+51987100058,51231458,10564.91,52,F,La Libertad,urbana,mediana,True,0.95,1.0,0.97,True,True,True,True,0.807,0.619,10,95.4,0.1,109,95,alto,False,True,True,1086.71,0.863,0.009,-0.0428,-0.01,-0.0091,1
C0059,Norma Salas Tapia,+51987100059,68303383,7150.9,62,F,Lambayeque,periurbana,pequeña,False,0.3,0.4,0.35,True,True,True,True,0.544,0.552,6,59.6,0.33,80,61,medio,False,True,True,712.2,0.857,-0.0791,-0.0269,-0.0169,-0.0801,1
C0060,Luis Ticona Coaquira,+51987100060,66916397,9724.06,51,M,Lima,urbana,pequeña,False,0.2,0.44,0.32,True,True,True,True,0.639,0.5,7,85.7,0.57,95,79,medio,True,True,True,916.18,0.383,0.2063,0.2271,0.2547,0.1909,0
C0061,Teresa Loayza Ñahui,+51987100061,64204441,9389.52,62,F,Arequipa,urbana,mediana,True,0.92,0.99,0.96,True,True,True,True,0.601,0.528,6,66.7,0.13,86,64,medio,False,False,True,766.17,0.315,-0.019,-0.1137,-0.015,-0.0393,3
C0062,Patricia Cordova Aliaga,+51987100062,61064123,8805.75,43,F,Arequipa,periurbana,pequeña,False,0.03,0.3,0.16,False,True,True,True,0.109,0.085,1,0.0,0.83,18,0,bajo,False,True,True,1036.91,0.478,0.2063,0.2382,0.1323,0.2416,1
C0063,Julio Trujillo Zegarra,+51987100063,59743567,3914.58,31,M,La Libertad,urbana,microempresa,False,0.07,0.23,0.15,False,True,True,True,0.273,0.281,2,17.9,0.63,16,11,bajo,False,True,True,386.43,0.365,0.1465,0.106,0.1923,0.1006,0
C0064,Carlos Coaquira Rojas,+51987100064,42976258,11116.86,38,M,Arequipa,urbana,pequeña,True,0.45,0.66,0.56,True,True,True,True,0.466,0.371,5,58.3,0.39,77,56,medio,False,True,True,1055.18,0.757,-0.0532,-0.1128,-0.0472,-0.217,1
C0065,Marco Coaquira Yupanqui,+51987100065,75774723,5249.34,55,M,Piura,urbana,pequeña,True,0.68,0.94,0.81,True,True,True,True,0.319,0.256,4,49.5,0.56,52,48,bajo,False,True,True,589.79,0.155,-0.0061,-0.044,-0.0351,-0.08,4
C0066,Sonia Ccahuana Ibáñez,+51987100066,45666602,3974.96,36,F,Lima,periurbana,microempresa,False,0.27,0.43,0.35,True,True,True,True,0.801,0.841,6,127.4,0.1,153,120,alto,False,True,True,268.31,0.398,0.1051,0.1016,0.0711,0.1641,1
C0067,Lucía Bautista Cusi,+51987100067,79796506,10853.63,47,F,Lima,urbana,mediana,False,0.25,0.53,0.39,True,True,True,True,0.641,0.534,6,63.1,0.42,82,63,medio,False,True,True,1430.83,0.525,0.1305,0.2153,0.2253,0.1856,0
C0068,Alberto Apaza Cáceres,+51987100068,41579937,759.3,46,M,Lambayeque,rural,microempresa,False,0.08,0.2,0.14,False,True,True,True,0.915,0.84,2,78.9,0.35,98,86,alto,False,True,True,80.0,0.763,-0.1723,-0.1242,-0.0478,-0.0611,2
C0069,Víctor Zegarra Pariona,+51987100069,69394126,2332.98,43,M,Puno,periurbana,microempresa,False,0.03,0.2,0.12,False,True,True,True,0.407,0.419,5,50.6,0.41,67,53,medio,False,True,True,150.85,0.37,0.0916,0.104,0.1543,0.1099,1
C0070,Elena Ibáñez Ibáñez,+51987100070,59254580,1051.0,47,F,Cusco,urbana,microempresa,True,0.78,0.89,0.83,True,True,True,True,0.296,0.246,0,29.8,0.61,28,17,bajo,False,True,True,80.0,0.313,-0.0262,-0.0539,-0.1528,-0.0581,0
C0071,Miriam Pariona Condori,+51987100071,58789066,4024.82,60,F,Lima,urbana,microempresa,True,0.57,0.68,0.62,True,True,True,True,0.207,0.184,0,8.1,0.99,23,0,bajo,False,True,True,297.57,0.336,-0.0608,-0.0387,0.012,-0.1528,0
C0072,Ana Yupanqui Sulca,+51987100072,49159317,2062.39,51,F,Cusco,urbana,microempresa,True,0.63,0.88,0.76,True,True,True,True,0.134,0.111,0,4.7,0.64,14,0,bajo,True,True,True,154.11,0.32,-0.0125,-0.1138,-0.0908,-0.0255,2
C0073,Nelson Chávez Cordova,+51987100073,56599905,3306.87,30,M,Lima,urbana,microempresa,True,0.41,0.69,0.55,True,True,True,True,0.275,0.252,3,10.5,0.86,28,9,bajo,False,True,True,225.17,0.07,-0.0201,-0.1494,-0.0302,-0.0391,0
C0074,Nancy Apaza Ccahuana,+51987100074,67673354,3122.64,65,F,Piura,rural,microempresa,False,0.27,0.52,0.4,True,True,True,False,0.53,0.51,1,62.7,0.64,91,57,medio,False,True,True,173.91,0.282,0.216,0.2181,0.2713,0.2043,1
C0075,Flor Ticona Bautista,+51987100075,45818718,4385.23,45,F,Cusco,urbana,microempresa,True,0.64,0.73,0.69,True,True,True,True,0.211,0.174,0,1.6,0.81,22,0,bajo,False,True,True,341.96,0.531,0.0739,-0.0111,0.048,-0.0582,3
C0076,Pedro Tapia Salazar,+51987100076,45822992,2956.69,38,M,Lima,periurbana,microempresa,False,0.07,0.19,0.13,False,True,True,True,0.03,0.031,1,16.1,0.89,19,0,bajo,False,True,True,167.39,0.671,-0.0491,0.0057,-0.0533,-0.0123,1
C0077,Rosa Condori Paredes,+51987100077,51730004,333.83,36,F,Lambayeque,urbana,microempresa,True,0.85,0.97,0.91,True,True,True,True,0.855,0.871,8,126.1,0.24,152,129,alto,False,True,True,80.0,0.846,-0.0438,-0.0962,-0.1403,-0.0576,4
C0078,Norma Ramírez Trujillo,+51987100078,47736804,1601.27,34,F,Cusco,urbana,microempresa,True,0.8,0.99,0.9,True,True,True,True,0.458,0.423,4,52.8,0.37,89,59,medio,False,True,True,92.43,0.413,0.1338,0.1146,0.088,0.1326,0
C0079,Marisol Ramírez Huamán,+51987100079,54671464,4120.66,36,F,Piura,rural,microempresa,False,0.04,0.14,0.09,False,True,True,True,0.839,0.758,7,169.3,0.1,194,174,alto,False,True,True,605.83,0.641,-0.036,-0.0683,-0.0015,-0.0747,4
C0080,Jorge Chávez Cusi,+51987100080,75800399,1937.34,26,M,Cajamarca,rural,microempresa,False,0.18,0.31,0.24,False,True,True,False,0.438,0.376,3,42.3,0.61,49,40,medio,False,True,True,202.47,0.152,-0.1323,-0.0898,-0.0481,-0.1176,3
C0081,Flor Espinoza Espinoza,+51987100081,42232853,2117.24,50,F,Piura,urbana,microempresa,True,0.58,0.71,0.65,True,True,True,True,0.035,0.032,0,0.0,0.85,10,0,bajo,False,True,True,143.12,0.489,0.1569,0.1386,0.1466,0.1499,1
C0082,Julio Huamán Ramírez,+51987100082,54667017,20143.38,39,M,Puno,periurbana,mediana,False,0.19,0.24,0.21,False,True,True,True,0.661,0.519,6,71.3,0.2,77,61,alto,False,True,True,3277.83,0.401,0.2734,0.2343,0.2937,0.2629,4
C0083,Rosa Sulca Paredes,+51987100083,73445918,1835.89,41,F,Arequipa,periurbana,microempresa,False,0.25,0.5,0.38,True,True,True,True,0.315,0.257,3,29.5,0.72,56,27,bajo,False,True,True,106.46,0.876,-0.1151,-0.0367,-0.117,-0.0491,0
C0084,Nelson Espinoza Espinoza,+51987100084,45787765,25169.79,45,M,Lima,urbana,mediana,True,0.86,0.96,0.91,True,True,True,True,0.319,0.298,1,18.9,0.81,34,23,bajo,False,True,True,2352.02,0.369,-0.1614,-0.0784,-0.0291,-0.0842,2
C0085,Rosa Cusi Flores,+51987100085,61654448,4351.56,41,F,Lima,urbana,microempresa,True,0.59,0.85,0.72,True,True,True,True,0.617,0.532,6,63.0,0.53,90,70,medio,False,True,True,247.6,0.681,-0.1876,-0.0799,-0.0579,-0.0989,0
C0086,Julio Aliaga Tapia,+51987100086,40958890,691.48,39,M,Lima,urbana,microempresa,True,0.94,1.0,0.97,True,True,True,True,0.487,0.489,3,51.0,0.49,82,56,medio,False,True,True,113.85,0.55,-0.1189,-0.0333,-0.0004,-0.0827,1
C0087,Elena Cusi Ramírez,+51987100087,69504230,2685.13,39,F,Junín,periurbana,microempresa,False,0.08,0.25,0.17,False,True,True,True,0.231,0.218,2,5.6,0.94,14,3,bajo,False,True,True,272.02,0.417,-0.0593,-0.0179,-0.0777,-0.0738,1
C0088,Patricia Ccahuana Yupanqui,+51987100088,75270278,8656.12,52,F,Lima,urbana,pequeña,True,0.66,0.89,0.78,True,True,True,True,0.423,0.348,2,34.9,0.76,35,23,medio,False,True,True,1154.21,0.562,0.286,0.1769,0.2427,0.2504,0
C0089,Betty Yupanqui Vargas,+51987100089,68809046,9545.07,55,F,Arequipa,urbana,pequeña,True,0.5,0.72,0.61,True,True,True,True,0.33,0.266,3,16.6,0.81,27,21,medio,False,True,True,1207.55,0.5,0.3363,0.1804,0.3004,0.3331,2
C0090,Freddy Sulca Ibáñez,+51987100090,46687001,11064.27,38,M,Lima,urbana,pequeña,True,0.86,1.0,0.93,True,True,True,True,0.957,0.93,4,147.7,0.11,169,140,alto,False,True,True,1046.63,0.053,-0.042,-0.1086,-0.1099,-0.0648,1
C0091,Carlos Paredes Espinoza,+51987100091,55488848,4382.71,36,M,Puno,periurbana,microempresa,True,0.47,0.64,0.55,True,False,True,True,0.718,0.727,5,72.6,0.42,94,79,alto,False,True,True,303.94,0.804,-0.0036,-0.0066,0.0064,0.0018,2
C0092,Doris Chávez Quispe,+51987100092,47593662,2462.37,26,F,Cusco,urbana,microempresa,True,0.47,0.7,0.58,True,True,True,True,0.521,0.423,1,4.4,0.76,21,3,medio,False,True,True,348.27,0.078,-0.0467,-0.0923,-0.1193,-0.054,1
C0093,Isabel Huamán Loayza,+51987100093,59699784,701.39,48,F,Lima,periurbana,microempresa,True,0.9,0.97,0.94,True,True,True,True,0.596,0.467,2,76.0,0.35,93,81,medio,False,True,True,80.0,0.495,-0.0242,-0.0514,-0.0908,-0.0704,0
C0094,Julia Aliaga Tapia,+51987100094,75355562,3410.41,45,F,Cusco,periurbana,pequeña,False,0.15,0.33,0.24,False,True,True,True,0.151,0.125,2,19.4,0.37,36,8,bajo,False,True,True,213.09,0.512,-0.1144,-0.0458,-0.0185,-0.1158,1
C0095,Norma Yupanqui Chávez,+51987100095,58885378,2284.69,33,F,Lambayeque,urbana,microempresa,True,0.43,0.48,0.45,True,True,True,True,0.681,0.659,4,76.6,0.41,105,83,alto,False,True,True,138.53,0.073,-0.0154,-0.1254,-0.1379,-0.0161,6
C0096,Pedro Espinoza Sulca,+51987100096,74428474,16056.92,56,M,Lima,urbana,mediana,True,0.54,0.76,0.65,True,True,True,True,0.244,0.23,3,18.1,0.85,43,29,bajo,False,True,True,1218.67,0.49,0.12,0.11,0.1036,0.0701,0
C0097,Rosa Cusi Sulca,+51987100097,43419542,7913.34,36,F,Cusco,rural,pequeña,False,0.06,0.2,0.13,False,True,True,True,0.548,0.42,4,42.8,0.6,60,42,medio,False,True,True,615.49,0.324,0.0497,0.0146,0.0663,-0.0227,2
C0098,Julia Apaza Ñahui,+51987100098,51561561,3999.38,30,F,Lima,urbana,pequeña,False,0.06,0.17,0.12,False,True,True,True,0.15,0.113,2,16.2,0.94,35,13,bajo,False,True,True,288.72,0.392,-0.0373,-0.0263,-0.0267,-0.0711,1
C0099,Nelson Ccahuana Yupanqui,+51987100099,67483051,11540.97,28,M,Lima,urbana,mediana,True,0.71,0.89,0.8,True,True,True,True,0.219,0.214,1,4.3,0.99,16,0,bajo,False,True,True,871.55,0.376,-0.0249,-0.05,-0.0557,-0.1269,3
